URL,Version,Status,OIDs,Name,Title,Description,Used
https://interop.esante.gouv.fr/ig/fhir/pdlgc/CodeSystem/pdlgc-export-status-cs,0.1.0,draft,,PDLGCExportStatusCS,Statut de l'export,"Statut de l'export","ValueSet/pdlgc-export-status-vs"
https://interop.esante.gouv.fr/ig/fhir/pdlgc/CodeSystem/pdlgc-repo-type-cs,0.1.0,draft,,PDLGCRepoTypeCS,Type de répertoire,"Type de répertoire","ValueSet/pdlgc-repo-type-vs"
https://interop.esante.gouv.fr/ig/fhir/pdlgc/CodeSystem/pdlgc-type-export-cs,0.1.0,draft,,PDLGCExportTypeCS,Type d'export de données LGC,"Type d'export de données LGC","ValueSet/pdlgc-export-type-vs"
https://mos.esante.gouv.fr/NOS/TRE_G19-SecteurActiviteADELI/FHIR/TRE-G19-SecteurActiviteADELI,20250523120000,active,"1.2.250.1.71.1.2.23",TRE_G19_SecteurActiviteADELI,,"Secteur d'activité ADELI","ValueSet/secteurActivite-vs"
https://mos.esante.gouv.fr/NOS/TRE_R02-SecteurActivite/FHIR/TRE-R02-SecteurActivite,20250523120000,active,"1.2.250.1.71.4.2.4",TRE_R02_SecteurActivite,,"Le secteur d'activité de santé est une donnée RPPS et correspond au type de service fourni par une structure. Il sert principalement à déterminer les propriétés de facturation des professionnels de ces structures vis-à-vis de l'assurance maladie","ValueSet/secteurActivite-vs"
https://mos.esante.gouv.fr/NOS/TRE_R216-HL7RoleCode/FHIR/TRE-R216-HL7RoleCode,20241213120000,active,"2.16.840.1.113883.5.111",TRE_R216_HL7RoleCode,,"HL7 roleCode","ValueSet/relation-vs"
https://mos.esante.gouv.fr/NOS/TRE_R217-ProtectionJuridique/FHIR/TRE-R217-ProtectionJuridique,20231215120000,active,"1.2.250.1.213.1.1.4.327",TRE_R217_ProtectionJuridique,,"Protection juridique","ValueSet/relation-vs"
https://mos.esante.gouv.fr/NOS/TRE_R316-AutreCategorieEtablissement/FHIR/TRE-R316-AutreCategorieEtablissement,20240329120000,active,"1.2.250.1.213.1.6.1.239",TRE_R316_AutreCategorieEtablissement,,"Cette table de référence permet d'identifier des catégories d'établissements qui ne sont pas présentes dans la TRE R66 qui est une table de référence ne listant que les catégories d'établissements présentes dans le FINESS","ValueSet/categorieEtablissement-vs"
https://mos.esante.gouv.fr/NOS/TRE_R66-CategorieEtablissement/FHIR/TRE-R66-CategorieEtablissement,20260505120000,active,"1.2.250.1.213.1.6.1.8",TRE_R66_CategorieEtablissement,,"Catégorie d'établissements","ValueSet/categorieEtablissement-vs"
https://mos.esante.gouv.fr/NOS/TRE_R73-ESPIC/FHIR/TRE-R73-ESPIC,20231215120000,active,"1.2.250.1.213.1.6.1.45",TRE_R73_ESPIC,,"Etablissement de santé privé d'intérêt collectif","ValueSet/vs-tre-r73-espic-all"
https://mos.esante.gouv.fr/NOS/TRE_R74-ModeFixationTarifaire/FHIR/TRE-R74-ModeFixationTarifaire,20251222120000,active,"1.2.250.1.213.1.6.1.46",TRE_R74_ModeFixationTarifaire,,"Mode de fixation tarifaire","ValueSet/vs-tre-r74-mode-fixation-tarifaire-all"
