Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.pdlgc.json	24710	-	0	0	0	0	0	0	23	101	0	0	0	0	0	0	0	0	0	0	20	211	476	0	0	0	6	0	2
fsh-generated/resources/ActorDefinition-PDLGC-Demandeur.json	630	3	0	0	1	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	7	18	52	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-PDLGC-Destinataire.json	746	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	6	16	32	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-PDLGC-Fournisseur-Destinataire.json	601	2	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	1	0	0	6	16	29	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-PDLGC-Fournisseur-Sortant.json	614	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	17	24	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-association-type.json	721	2	0	0	0	0	1	0	0	8	0	0	1	0	0	0	0	0	0	0	5	16	120	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-pdlgc-export-status-cs.json	656	1	0	0	0	0	0	0	1	5	0	0	0	0	1	0	0	0	0	0	3	15	89	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-pdlgc-repo-type-cs.json	599	2	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	4	13	80	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-pdlgc-type-export-cs.json	733	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	16	79	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ActorPS.json	2248	2	0	22	0	0	0	0	0	87	0	0	1	0	1	1	0	0	0	0	1	136	660	0	0	0	3	1	1
fsh-generated/resources/StructureDefinition-ActorPatient.json	2152	3	0	10	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	129	294	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ActorSNR.json	2197	3	0	10	0	0	0	0	0	19	0	0	1	0	0	0	0	0	0	0	1	108	330	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-ActorSystem.json	2115	2	0	9	0	0	0	0	0	18	0	0	0	0	1	0	0	0	0	0	1	124	294	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ActorXDS.json	5915	4	0	0	0	0	0	0	0	22	0	0	1	0	0	0	0	1	0	0	1	127	256	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-Author.json	4622	2	0	15	1	0	0	0	0	22	0	0	0	0	1	0	0	0	0	0	1	111	268	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-AuthorDocumentEntry.json	4328	2	0	9	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	1	73	232	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-AuthorInstitution.json	7134	3	0	8	0	0	0	0	0	25	0	0	1	0	0	0	0	0	0	0	2	93	254	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-AuthorSubmissionSet.json	2392	1	0	6	0	0	0	0	0	13	0	0	0	0	1	0	0	0	0	0	1	62	205	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DocumentEntry.json	21013	5	0	29	0	0	0	0	0	49	0	0	1	0	0	0	0	1	0	0	4	323	493	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-EventCode.json	1760	1	0	8	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	40	167	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Identifiant.json	1620	2	0	6	0	0	0	0	0	7	0	0	1	0	1	0	0	0	0	0	1	59	131	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-IdentifiantSysteme.json	1051	2	0	4	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	42	180	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-MatriculeINS.json	1391	1	0	3	0	0	0	0	0	5	0	0	1	0	1	0	0	0	0	0	1	40	127	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PSIdNat.json	2242	2	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	42	143	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PatientId.json	2522	2	0	5	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	53	145	0	0	0	2	0	0
